snp-dists 0.8.2	039671	100_R277	101_R424	102_R528	103_R531	104_R560	105_R571	106_R584	107_M414	109_M574	111_D16450	2023004	2023005	2023008	2023010	2023012	2023014	2023015	2023016	2023017	2023018	2023019	2023020	2023021	2023024	2023026	2023029	2023037	2023039	2023042	2023044	2023045	2023046	2023047	2023050	2023059	2023062	2023063	2023071	2023075	2023079	2023081	2023082	2023083	2023088	2023089	2023091	2023092	2023102	2023114	2023115	2023120	2023124	2023126	2023137	2023139	2023144	2023145	2023150	2023167	2023169	2023175	2023176	2023178	2023183	2023186	2023187	2023190	2023196	2023207	2023214	2023216	2023222	2023227	2023229	2023233	2023236	2023244	2023248	2023257	2023275	2023286	2023291	2023296	2023312	2023316	2023318	2023322	2023329	2023331	2023339	2023348	2023353	2023356	2023357	2023373	2023378	23007	23053	23064	23094	23098	23112	23116	23119	23129	23136	23146	23152	23155	23157	23159	23160	23162	23164	23166	23168	23171	23181	23184	23189549	23198	23204	23212	23217	23220	23221	23225	23230	23232	23238	23240	23241	23247	23250	23251	23253	23254	23260	23263	23270	23274	23283	23292	23303	23307	23314	23315	23327	23347	23351	23362	23365	23371	23375	23377	23379	23407	23414165	23415	23417	23429	23434	23437	23439	23443	23455	23456	23461	23476	23478	23492778	23492966	23493050	23493423	23494	23497	23527	23529	23531	23532	23535	23578	23619	23624	23M510	23M512	23M513	23M554	23M636	23R441	23R485	23R530	23R533	23R535	23R583	23R600	23R655	23R656	418_R417	421_23R428	428_2023XYX	429_23R430	430_D16447	431_23M469	432_23M355	433_23R414	440_23R425	441_23R548	443_23R407	444_23R443	445_D16535	447_23R447	448_23M494	492434	492831	493229	493289	493339	493478	493600	493686	493708	493798
109_M574	23	23	28	27	31	26	30	25	27	0	27	26	29	31	31	25	31	25	28	29	33	31	25	25	26	26	29	25	32	26	25	31	26	27	28	26	31	36	25	26	23	26	31	36	23	23	23	23	27	26	34	28	19	32	25	35	25	18	23	27	25	37	25	31	28	26	25	34	23	30	25	21	27	31	29	25	24	35	30	30	22	25	17	25	22	27	32	25	26	29	24	25	27	29	29	37	36	35	27	28	19	29	26	25	27	27	26	33	29	28	25	30	30	22	30	37	25	35	35	27	34	33	17	29	32	28	27	25	30	23	29	30	25	27	32	25	36	22	26	26	26	28	30	27	31	22	29	24	26	27	31	29	23	28	29	22	28	27	23	25	27	27	22	23	27	28	25	25	30	28	28	25	31	26	32	22	23	27	28	28	28	25	37	27	28	22	22	30	24	29	29	21	22	27	31	2	26	33	32	30	0	29	29	25	25	25	31	36	28	32	27	34	26	30	26	30	33	27	24	28	29	27	28	4
111_D16450	16	22	23	22	30	25	19	14	22	27	0	15	18	20	20	14	20	20	17	24	22	20	14	20	15	15	24	20	21	21	14	30	21	26	23	15	20	25	14	15	12	21	20	25	18	18	18	18	26	15	29	21	18	27	24	30	20	17	22	22	24	32	18	26	19	21	24	29	12	25	20	16	16	26	28	20	13	30	25	25	15	20	16	20	15	16	21	24	25	18	17	20	16	28	28	32	31	24	20	17	14	24	21	20	26	16	15	22	22	23	18	25	25	11	25	28	24	30	30	16	29	22	16	24	21	17	22	14	25	22	24	25	18	22	21	18	31	11	21	25	21	17	25	26	26	15	28	17	21	16	20	28	16	17	18	15	23	16	12	20	16	16	17	18	22	23	18	18	29	17	19	18	26	25	21	17	12	16	17	17	17	24	30	16	23	17	17	19	17	22	18	20	11	22	26	27	15	28	31	19	27	22	18	14	14	14	26	29	23	27	16	29	15	19	15	19	28	22	23	17	24	16	23	29
2023004	15	21	22	21	29	24	18	13	21	26	15	0	17	19	19	13	19	19	16	23	21	19	13	19	14	14	23	19	20	20	13	29	20	25	22	14	19	24	13	14	11	20	19	24	17	17	17	17	25	14	28	20	17	26	23	29	19	16	21	21	23	31	17	25	18	20	23	28	11	24	19	15	15	25	27	19	12	29	24	24	14	19	15	19	14	15	20	23	24	17	16	19	15	27	27	31	30	23	19	16	13	23	20	19	25	15	14	21	21	22	17	24	24	10	24	27	23	29	29	15	28	21	15	23	20	16	21	13	24	21	23	24	17	21	20	17	30	10	20	24	20	16	24	25	25	14	27	16	20	15	19	27	15	16	17	14	22	15	11	19	15	15	16	17	21	22	17	17	28	16	18	17	25	24	20	16	11	15	16	16	16	23	29	15	22	16	16	18	16	21	17	19	10	21	25	26	14	27	30	18	26	21	17	13	13	13	25	28	22	26	15	28	14	18	14	18	27	21	22	16	23	15	22	28
2023005	18	24	25	24	32	27	21	14	24	29	18	17	0	22	16	16	22	22	5	26	24	22	16	22	5	5	26	22	23	23	16	32	23	28	25	17	22	27	4	5	14	23	22	25	20	20	20	20	28	17	31	23	20	29	26	32	22	19	24	24	26	34	20	28	21	23	26	31	14	27	22	18	18	28	30	22	15	32	27	27	17	22	18	22	17	6	23	26	27	8	19	22	18	30	30	34	33	26	22	19	16	26	23	22	28	18	17	24	24	25	20	27	27	13	27	30	26	32	32	18	31	24	18	26	23	13	24	16	27	24	26	27	20	24	23	20	33	13	23	27	23	13	27	28	28	17	30	19	23	6	22	30	18	19	20	17	25	18	12	22	18	18	19	20	24	25	20	20	31	13	21	20	28	27	23	19	14	18	19	19	19	26	32	18	25	19	19	21	19	24	20	22	13	24	28	29	17	30	33	21	29	24	18	16	16	16	28	31	25	29	18	31	17	21	17	21	30	24	25	19	26	18	25	31
2023008	20	26	27	26	34	29	23	18	26	31	20	19	22	0	24	18	0	24	21	28	2	0	18	24	19	19	28	24	25	25	18	34	25	30	27	19	24	9	18	19	16	25	0	29	22	22	22	22	30	19	33	25	22	31	28	34	24	21	26	26	28	36	22	30	23	25	28	33	16	29	24	20	20	30	32	24	17	34	29	29	19	24	20	24	19	20	25	28	29	22	21	24	20	32	32	36	35	8	24	21	18	28	25	24	30	20	19	6	26	27	22	29	29	15	29	32	28	34	34	20	33	26	20	28	25	21	26	18	29	26	28	29	22	26	25	22	35	15	25	29	25	21	29	30	30	19	32	21	25	20	24	32	20	21	22	19	27	20	16	24	20	20	21	22	26	27	22	22	33	21	23	22	30	29	25	21	16	20	21	21	21	28	34	20	27	21	21	23	21	26	22	24	15	26	30	31	19	32	35	23	31	26	22	18	18	18	30	33	27	31	20	33	19	23	19	23	32	26	27	21	28	20	27	33
2023010	20	26	27	26	34	29	23	16	26	31	20	19	16	24	0	18	24	24	15	28	26	24	18	24	13	13	28	24	25	25	18	34	25	30	27	19	24	29	12	13	16	25	24	27	22	22	22	22	30	19	33	25	22	31	28	34	24	21	26	26	28	36	22	30	23	25	28	33	16	29	24	20	20	30	32	24	17	34	29	29	19	24	20	24	19	14	25	28	29	16	21	24	20	32	32	36	35	28	24	21	18	28	25	24	30	20	19	26	26	27	22	29	29	15	29	32	28	34	34	20	33	26	20	28	25	5	26	18	29	26	28	29	22	26	25	22	35	15	25	29	25	5	29	30	30	19	32	21	25	14	24	32	20	21	22	19	27	20	14	24	20	20	21	22	26	27	22	22	33	5	23	22	30	29	25	21	16	20	21	21	21	28	34	20	27	21	21	23	21	26	22	24	15	26	30	31	19	32	35	23	31	26	20	18	18	18	30	33	27	31	20	33	19	23	19	23	32	26	27	21	28	20	27	33
2023012	14	20	21	20	28	23	17	12	20	25	14	13	16	18	18	0	18	18	15	22	20	18	12	18	13	13	22	18	19	19	12	28	19	24	21	1	18	23	12	13	10	19	18	23	16	16	16	16	24	13	27	19	16	25	22	28	18	15	20	20	22	30	16	24	17	19	22	27	10	23	18	14	14	24	26	18	11	28	23	23	13	18	14	18	13	14	19	22	23	16	15	18	14	26	26	30	29	22	18	15	12	22	19	18	24	14	13	20	20	21	16	23	23	9	23	26	22	28	28	14	27	20	14	22	19	15	20	12	23	20	22	23	16	20	19	16	29	9	19	23	19	15	23	24	24	13	26	15	19	14	18	26	14	15	16	13	21	14	10	18	14	14	15	16	20	21	16	16	27	15	17	16	24	23	19	15	10	14	15	15	15	22	28	14	21	15	15	17	15	20	16	18	9	20	24	25	13	26	29	17	25	20	16	12	12	12	24	27	21	25	14	27	13	17	13	17	26	20	21	15	22	14	21	27
2023014	20	26	27	26	34	29	23	18	26	31	20	19	22	0	24	18	0	24	21	28	2	0	18	24	19	19	28	24	25	25	18	34	25	30	27	19	24	9	18	19	16	25	0	29	22	22	22	22	30	19	33	25	22	31	28	34	24	21	26	26	28	36	22	30	23	25	28	33	16	29	24	20	20	30	32	24	17	34	29	29	19	24	20	24	19	20	25	28	29	22	21	24	20	32	32	36	35	8	24	21	18	28	25	24	30	20	19	6	26	27	22	29	29	15	29	32	28	34	34	20	33	26	20	28	25	21	26	18	29	26	28	29	22	26	25	22	35	15	25	29	25	21	29	30	30	19	32	21	25	20	24	32	20	21	22	19	27	20	16	24	20	20	21	22	26	27	22	22	33	21	23	22	30	29	25	21	16	20	21	21	21	28	34	20	27	21	21	23	21	26	22	24	15	26	30	31	19	32	35	23	31	26	22	18	18	18	30	33	27	31	20	33	19	23	19	23	32	26	27	21	28	20	27	33
2023015	16	20	21	20	28	23	23	18	20	25	20	19	22	24	24	18	24	0	21	22	26	24	18	18	19	19	22	18	25	19	18	28	19	24	21	19	24	29	18	19	16	1	24	29	16	16	16	16	24	19	27	21	16	25	22	28	18	15	20	20	22	30	18	24	21	19	22	27	16	23	18	14	20	24	26	18	17	28	23	23	15	18	14	18	15	20	25	22	23	22	17	18	20	26	26	30	29	28	20	21	12	22	19	18	24	20	19	26	22	21	18	23	23	15	23	30	22	28	28	20	27	26	14	22	25	21	20	18	23	20	22	23	18	20	25	18	29	15	19	23	19	21	23	24	24	15	26	17	19	20	24	26	16	21	22	15	21	20	16	18	20	20	15	16	20	21	18	18	27	21	21	18	24	23	25	15	16	20	21	21	21	22	30	20	21	15	15	23	17	22	22	18	15	20	24	25	19	26	29	23	25	22	22	18	18	18	24	29	21	25	20	27	19	23	19	23	26	20	21	21	22	20	21	27
2023016	17	23	24	23	31	26	20	13	23	28	17	16	5	21	15	15	21	21	0	25	23	21	15	21	4	4	25	21	22	22	15	31	22	27	24	16	21	26	3	4	13	22	21	24	19	19	19	19	27	16	30	22	19	28	25	31	21	18	23	23	25	33	19	27	20	22	25	30	13	26	21	17	17	27	29	21	14	31	26	26	16	21	17	21	16	5	22	25	26	7	18	21	17	29	29	33	32	25	21	18	15	25	22	21	27	17	16	23	23	24	19	26	26	12	26	29	25	31	31	17	30	23	17	25	22	12	23	15	26	23	25	26	19	23	22	19	32	12	22	26	22	12	26	27	27	16	29	18	22	5	21	29	17	18	19	16	24	17	11	21	17	17	18	19	23	24	19	19	30	12	20	19	27	26	22	18	13	17	18	18	18	25	31	17	24	18	18	20	18	23	19	21	12	23	27	28	16	29	32	20	28	23	17	15	15	15	27	30	24	28	17	30	16	20	16	20	29	23	24	18	25	17	24	30
